"Age","Weight","Duration","Heart_Rate","Body_Temp","Calories"
"34","50","7","83","39.3","27"
"40","62","27","111","41.2","185"
"55","57","11","92","39.8","57"
"44","88","13","94","40","65"
"45","60","16","99","40.4","91"
"49","64","19","105","40.4","120"
"46","68","12","101","40.1","70"
"25","100","9","94","39.8","39"
"68","80","22","95","40.5","136"
"25","64","14","101","40.2","77"
"31","67","9","93","39.5","42"
"57","91","7","95","39.2","41"
"27","59","14","88","39.9","59"
"40","98","24","110","40.7","179"
"57","74","2","73","38.6","6"
"23","62","5","74","39.2","13"
"23","87","23","110","40","147"
"43","88","26","107","40.7","180"
"74","107","14","96","40.1","101"
"45","53","23","106","40.7","150"
"31","60","25","115","40.8","179"
"21","93","6","93","39.2","23"
"50","96","3","80","38.3","10"
"39","74","9","93","39.5","39"
"57","81","30","112","40.9","247"
"26","53","19","92","40.5","89"
"34","83","25","102","40.9","141"
"55","62","4","87","39.1","18"
"52","67","15","89","40.6","70"
"21","90","29","110","40.8","185"
"20","45","11","94","40.1","54"
"79","60","29","107","40.8","207"
"21","91","27","114","41","189"
"50","74","2","82","38.1","6"
"29","76","12","97","39.9","60"
"22","92","6","92","39","23"
"28","60","27","113","40.8","186"
"38","93","28","104","40.9","178"
"23","73","25","102","40.7","122"
"68","68","24","108","40.5","166"
"79","86","20","102","40.1","158"
"35","70","2","83","38.4","7"
"67","96","18","105","40.5","143"
"21","52","12","82","39.8","43"
"44","49","17","92","40.2","86"
"43","72","23","100","40.7","128"
"21","79","29","111","41","182"
"32","70","10","98","39.7","52"
"79","91","27","107","40.4","236"
"51","96","19","97","40.6","114"
"60","67","11","99","39.7","64"
"49","86","26","103","40.8","171"
"46","84","6","82","39.2","19"
"35","54","21","111","40.5","144"
"31","76","9","94","39.7","37"
"42","78","26","110","41.4","185"
"66","69","13","87","39.8","60"
"52","90","22","96","40.5","127"
"59","73","23","101","40.4","149"
"23","71","16","102","40.1","78"
"49","63","5","91","38.9","24"
"25","57","23","107","40.8","143"
"20","84","27","104","41","143"
"28","66","15","94","40.1","71"
"60","90","11","90","40.2","58"
"29","77","15","95","40.4","71"
"40","87","5","88","39.5","20"
"26","93","17","96","40.3","78"
"26","76","19","97","40.4","93"
"25","58","6","90","39.2","17"
"60","87","3","84","38.9","12"
"25","81","23","101","40.8","115"
"39","65","19","106","40.6","119"
"30","53","26","108","40.6","168"
"23","100","12","90","40.4","44"
"37","51","29","108","40.6","192"
"22","47","17","101","40.3","96"
"26","68","23","105","40.7","135"
"56","60","12","86","40.2","54"
"43","79","30","115","40.8","239"
"38","65","14","94","40.1","69"
"24","80","14","90","40.7","46"
"25","63","21","101","40.7","115"
"31","62","4","88","39.1","17"
"54","57","25","115","40.4","190"
"34","91","12","89","40.2","48"
"28","72","27","112","40.7","178"
"24","95","6","88","39.3","20"
"27","69","15","90","40.4","64"
"35","57","19","94","40.6","95"
"49","89","25","111","40.8","196"
"36","91","2","91","38.1","9"
"58","83","18","101","40.8","105"
"40","61","12","92","40","58"
"31","77","24","97","40.8","111"
"50","86","17","101","40.3","108"
"36","109","6","87","39.1","24"
"34","61","13","96","40.1","67"
"78","54","13","84","40.3","62"
"41","76","28","104","40.8","172"
"41","71","7","87","39.5","24"
"24","77","19","98","40.1","84"
"67","69","20","105","40.5","132"
"47","75","25","110","40.7","167"
"42","52","17","101","40.6","101"
"25","75","23","97","40.6","113"
"25","78","17","101","40.3","84"
"58","68","6","88","39.4","28"
"68","98","22","99","41","157"
"24","91","14","97","40.4","64"
"38","92","21","104","40.6","133"
"26","59","23","108","40.5","145"
"64","83","24","103","41","174"
"49","75","7","93","39.2","34"
"73","57","29","103","40.9","193"
"27","86","24","107","40.7","147"
"66","72","18","105","40.5","133"
"39","104","26","101","40.7","161"
"30","62","6","76","39.4","18"
"76","96","12","96","40.1","85"
"60","90","15","95","40","90"
"54","90","23","108","40.9","176"
"49","66","11","89","39.6","51"
"24","66","7","82","39.3","24"
"28","57","6","83","39.5","22"
"72","102","25","106","40.9","212"
"32","78","29","112","40.9","201"
"36","59","17","93","40.3","83"
"65","103","14","93","40.1","87"
"36","67","27","97","40.7","141"
"32","63","23","103","40.3","134"
"42","84","2","80","38.6","5"
"34","94","29","109","40.9","201"
"34","78","3","86","38.2","9"
"26","86","8","83","39.3","20"
"31","105","29","113","40.8","221"
"64","63","17","105","40.1","112"
"34","93","20","99","40.3","108"
"63","112","29","110","40.4","257"
"44","87","27","108","40.8","192"
"36","96","17","90","40.3","72"
"41","71","28","104","41.2","169"
"73","77","18","97","40.3","120"
"31","85","28","106","40.8","172"
"22","73","10","84","39.9","21"
"34","56","18","102","40.6","105"
"21","65","25","109","40.3","156"
"22","50","3","89","38.7","13"
"33","97","24","100","40.8","134"
"51","60","21","103","40.4","130"
"33","67","25","101","41.1","140"
"47","97","7","91","39.3","34"
"70","74","9","79","40","34"
"77","63","8","92","39.5","44"
"35","71","11","85","39.9","42"
"44","60","2","89","38.4","9"
"71","60","18","97","40.5","107"
"54","75","9","87","39.6","39"
"63","68","26","108","40.8","178"
"50","55","13","101","40.4","79"
"63","105","15","102","40.3","113"
"30","58","22","109","40.5","143"
"33","57","4","84","38.7","16"
"38","91","24","100","40.5","137"
"20","81","17","97","40.5","71"
"67","62","13","94","40.2","72"
"24","90","14","103","40.1","76"
"30","103","27","109","40.5","187"
"35","49","18","103","40.2","109"
"63","79","29","111","40.5","204"
"50","60","6","91","39.4","29"
"33","101","17","98","40.5","91"
"36","58","4","84","39","16"
"75","97","7","84","39.1","36"
"56","93","13","97","39.9","80"
"50","75","22","111","40.6","151"
"24","80","27","116","40.6","195"
"32","72","8","80","39.5","26"
"49","100","22","99","40.5","138"
"77","65","3","89","39","15"
"67","75","19","97","40.5","120"
"23","81","30","112","41","197"
"37","95","21","98","40.7","114"
"35","59","20","107","40.6","127"
"34","83","23","97","40.8","112"
"49","67","21","98","40.4","116"
"69","61","8","83","39.4","35"
"49","101","16","103","40.4","110"
"41","51","22","95","40.2","117"
"42","95","17","105","40.2","115"
"52","93","21","107","40.6","157"
"26","60","12","91","40","54"
"79","80","25","104","40.5","163"
"72","82","19","107","40.5","156"
"34","92","10","91","39.9","42"
"60","50","7","89","39.8","35"
"45","57","7","91","39.3","34"
"33","92","19","98","40.4","99"
"56","97","20","109","40.5","161"
"21","54","8","94","39.8","38"
"50","61","18","99","40.5","104"
"60","86","27","105","41","200"
"39","72","28","108","40.7","183"
"48","75","19","110","40.7","140"
"38","65","19","97","40.5","100"
"54","95","22","110","40.3","178"
"23","89","27","104","41","150"
"72","68","15","94","40.2","83"
"47","79","6","74","39.3","12"
"58","72","8","103","39.9","49"
"41","85","25","101","40.8","147"
"62","100","8","90","39.4","44"
"30","67","29","107","40.9","179"
"32","56","23","113","40.5","161"
"20","80","9","84","39.4","20"
"53","65","21","102","40.5","127"
"51","95","30","112","41","247"
"78","86","23","100","40.8","173"
"74","112","6","83","39","32"
"50","70","22","106","40.9","140"
"40","70","8","88","40","34"
"41","75","8","88","39.7","30"
"26","54","13","94","40.3","64"
"25","89","27","104","40.8","152"
"31","89","15","105","39.9","91"
"20","90","4","83","38.8","9"
"55","72","5","84","39.3","20"
"52","59","25","103","40.7","156"
"60","105","26","110","40.6","223"
"36","93","16","97","40","83"
"53","69","11","89","40","51"
"36","95","10","97","40","52"
"23","68","25","114","40.9","170"
"37","61","25","103","40.7","149"
"48","80","27","105","40.6","181"
"39","71","27","118","41.1","201"
"21","103","7","88","39.6","23"
"20","86","23","100","40.3","109"
"57","72","8","84","39.7","30"
"77","66","15","94","40.5","84"
"34","85","19","109","40.4","128"
"52","92","23","97","40.7","137"
"70","91","28","103","40.8","216"
"64","54","12","95","40.1","68"
"73","101","18","97","40.7","129"
"47","99","11","88","39.8","50"
"39","65","5","84","39.2","19"
"25","60","7","89","39.4","30"
"22","67","27","119","40.4","197"
"67","78","4","95","38.7","24"
"64","67","13","94","40.2","70"
"37","100","12","91","40.1","54"
"21","78","19","100","40.5","88"
"40","97","7","83","39.5","24"
"36","68","19","108","40.1","121"
"53","77","11","95","39.9","57"
"41","99","22","98","40.5","126"
"56","88","5","89","39.5","24"
"29","65","11","84","40","41"
"28","92","7","92","39.5","28"
"22","88","10","90","39.7","34"
"76","93","23","96","40.5","161"
"73","76","4","86","38.9","20"
"39","86","23","97","40.6","119"
"69","59","11","95","39.6","63"
"46","75","12","93","40.1","58"
"30","58","30","115","40.6","215"
"35","67","17","101","40.1","96"
"60","71","24","107","41","160"
"35","50","25","104","41","154"
"26","84","5","81","39.1","11"
"21","83","23","104","40.5","122"
"27","57","22","101","40.4","124"
"47","69","21","97","40.6","113"
"27","79","3","80","38.9","9"
"49","79","29","108","40.7","208"
"27","83","19","102","41","101"
"46","91","14","91","40","66"
"58","98","14","102","40.1","100"
"27","77","13","101","39.9","65"
"29","76","13","91","39.8","47"
"39","96","3","78","38.6","8"
"56","63","4","84","38.7","17"
"32","83","21","97","40.4","101"
"43","67","5","80","39","18"
"21","98","21","108","40.5","131"
"76","72","10","97","39.8","58"
"22","59","15","104","40","87"
"35","99","24","104","40.6","152"
"45","95","28","105","41","193"
"32","83","10","99","39.7","51"
"39","80","25","105","40.7","157"
"44","75","27","105","40.8","165"
"26","67","6","84","39.4","22"
"42","72","17","98","40.1","91"
"24","78","2","93","38.2","9"
"56","93","14","91","40","74"
"71","96","5","85","39.1","26"
"37","84","11","99","39.9","57"
"47","63","10","81","39.9","37"
"48","67","29","112","40.9","217"
"52","86","11","87","40","47"
"40","98","24","99","40.4","139"
"66","75","4","88","38.9","19"
"37","59","16","94","40.2","80"
"28","93","17","94","40.4","74"
"59","51","10","93","39.7","54"
"24","78","28","105","40.8","154"
"67","62","26","93","40.7","140"
"33","98","10","97","39.8","52"
"34","99","15","97","40.1","79"
"40","84","17","99","40.4","94"
"22","85","28","116","41","202"
"66","75","27","114","40.7","238"
"42","82","19","103","40.2","117"
"42","111","7","83","39.5","26"
"64","97","23","106","40.7","184"
"32","64","28","105","40.5","169"
"26","83","27","107","41","162"
"32","55","13","92","40.2","62"
"51","94","21","105","40.4","150"
"40","59","27","110","41.1","183"
"34","74","25","101","40.9","138"
"48","88","15","103","40","99"
"21","45","23","100","40.6","128"
"31","68","12","91","40.3","54"
"76","103","18","95","40.3","127"
"20","79","5","84","38.9","11"
"22","73","18","94","40.7","66"
"44","84","11","91","39.5","49"
"49","67","10","85","39.5","42"
"49","79","7","95","39.5","37"
"46","55","3","84","38.6","12"
"75","84","29","107","41.1","243"
"20","58","5","76","39.3","14"
"33","59","28","105","40.6","171"
"68","75","28","112","40.8","241"
"58","73","20","104","40.6","125"
"23","81","26","112","40.6","171"
"79","96","9","87","39.7","52"
"43","104","28","103","40.7","187"
"37","74","24","104","40.8","141"
"61","73","26","102","40.8","159"
"26","62","9","80","40.2","30"
"23","72","28","110","40.9","176"
"64","82","25","111","40.8","211"
"20","68","8","85","39.4","29"
"22","69","21","95","40.1","99"
"27","69","27","116","41.1","190"
"36","95","7","83","39.5","22"
"59","92","30","110","41","247"
"36","103","5","84","39","17"
"71","65","8","86","39.7","37"
"21","67","21","103","40.4","117"
"56","90","10","91","39.7","52"
"75","74","10","98","39.7","68"
"48","84","17","89","40.4","74"
"62","91","24","97","40.6","154"
"53","60","26","104","40.7","165"
"47","89","17","97","39.9","96"
"39","91","13","101","39.8","77"
"54","63","17","92","40.3","86"
"38","104","21","101","40.6","129"
"39","51","26","100","40.4","151"
"51","81","28","106","40.9","197"
"30","92","13","104","40.3","77"
"33","61","5","90","39.1","22"
"47","82","27","100","40.7","161"
"64","55","25","114","40.8","192"
"37","58","8","90","39.2","37"
"41","91","20","106","40.5","135"
"61","77","11","90","40","55"
"38","71","10","84","39.8","29"
"21","88","12","97","39.9","52"
"48","81","21","94","40.6","106"
"71","80","6","84","39","28"
"73","97","22","107","40.9","189"
"65","61","26","111","41","190"
"57","56","13","91","39.9","66"
"49","93","22","99","40.5","135"
"55","79","4","97","38.7","23"
"20","74","12","80","39.9","17"
"45","58","5","84","38.9","21"
"53","75","13","90","40.2","60"
"46","58","10","93","39.6","51"
"25","96","5","85","39.1","15"
"22","65","9","92","40","29"
"60","66","27","110","40.8","190"
"50","62","11","89","40.1","51"
"61","56","17","95","40.5","95"
"69","62","29","112","40.9","216"
"30","92","30","101","41","165"
"33","61","20","105","40.6","122"
"21","105","15","96","40.1","69"
"39","53","20","99","40.9","113"
"26","81","7","92","39.5","26"
"44","80","5","91","39.2","22"
"58","42","12","96","40.1","70"
"24","83","4","83","39.3","9"
"35","91","15","95","40.3","72"
"21","94","25","111","40.6","165"
"26","82","29","105","41","165"
"30","57","15","88","40.3","64"
"27","81","18","105","40.5","103"
"32","51","4","83","39.1","15"
"30","84","9","85","39.6","32"
"79","57","14","85","40","68"
"39","58","25","106","40.6","159"
"25","89","6","92","39.6","23"
"23","70","13","90","40.1","54"
"34","80","29","120","40.7","240"
"36","54","10","86","39.7","42"
"63","115","14","106","40","117"
"37","59","26","106","40.6","164"
"50","55","23","98","40.8","132"
"62","96","2","85","38.2","9"
"37","67","15","94","40","74"
"35","69","23","96","40.7","116"
"27","79","8","102","39.7","42"
"55","79","24","110","40.6","187"
"36","75","16","94","40.4","70"
"22","45","7","86","39.1","29"
"20","71","9","83","39.8","17"
"43","83","28","108","40.9","195"
"73","76","19","106","40.4","127"
"22","82","14","87","39.9","39"
"67","64","6","88","38.9","28"
"25","100","16","93","40.3","68"
"41","63","17","97","40.5","91"
"49","81","16","97","40.2","89"
"27","80","28","111","41.2","185"
"33","76","5","79","38.7","16"
"59","58","19","91","40.3","97"
"21","77","13","92","40.2","44"
"65","59","10","95","40","56"
"22","88","21","103","40.4","112"
"55","91","10","81","39.8","37"
"22","82","9","86","39.8","24"
"35","38","30","112","40.5","216"
"58","101","15","101","40.1","106"
"45","103","14","85","39.9","57"
"62","99","18","97","40.3","119"
"74","60","16","97","40.1","96"
"48","46","7","88","39.5","33"
"23","73","23","100","40.7","106"
"31","90","25","106","41","156"
"53","98","14","92","40.4","75"
"73","89","18","99","40.6","130"
"27","66","21","113","40.5","142"
"40","83","22","99","40.5","121"
"66","66","24","99","40.7","143"
"46","73","20","105","40.7","123"
"75","62","26","108","41.1","186"
"33","67","13","94","40.3","53"
"49","59","27","104","40.8","170"
"37","67","15","97","40.2","78"
"43","70","26","113","40.5","182"
"66","82","11","92","40","55"
"51","59","25","101","40.6","150"
"33","56","6","80","39.9","21"
"48","72","6","90","39","26"
"43","95","18","93","40.5","90"
"48","75","16","99","40.7","91"
"34","87","17","95","40.3","79"
"61","66","29","107","41.1","195"
"48","75","10","101","39.9","57"
"30","57","18","98","40.5","96"
"79","61","7","93","39.7","39"
"67","73","4","85","38.6","18"
"60","84","4","85","39.3","17"
"57","76","15","97","40.3","82"
"34","96","19","101","40.5","110"
"42","56","25","106","40.8","161"
"38","82","25","107","40.8","164"
"43","83","5","81","39.5","15"
"76","99","12","96","40.2","85"
"37","79","23","101","40.6","128"
"23","98","14","94","40.2","59"
"20","54","18","92","40.2","82"
"23","62","25","105","40.5","148"
"20","65","3","76","38.2","8"
"25","71","14","86","40.3","53"
"24","50","16","98","40.2","85"
"29","57","22","99","40.9","120"
"43","106","28","107","40.7","205"
"26","66","4","80","39.1","13"
"76","77","28","107","40.6","192"
"43","89","4","91","38.7","18"
"73","94","7","92","39.3","44"
"42","104","26","103","41.3","172"
"23","65","27","105","40.4","158"
"22","76","6","82","39.5","11"
"28","77","25","96","40.9","108"
"20","64","23","96","40.5","112"
"36","65","14","92","39.7","66"
"26","104","10","88","39.7","36"
"59","72","4","89","38.7","19"
"22","50","10","94","39.5","49"
"50","70","26","100","40.6","149"
"22","77","2","81","38.6","4"
"52","70","28","115","40.6","206"
"31","66","23","94","40.9","111"
"68","98","28","105","41.1","226"
"48","65","11","94","39.3","56"
"31","94","7","92","39.7","30"
"23","60","15","91","40.2","67"
"24","78","22","102","40.7","111"
"58","75","27","107","40.7","199"
"32","69","15","102","40.3","85"
"21","47","2","77","38.1","6"
"63","98","28","105","40.9","219"
"77","82","21","102","39.9","162"
"49","85","25","110","40.5","190"
"26","91","30","108","40.7","190"
"53","64","9","87","39.5","40"
"31","77","9","92","40.1","40"
"32","66","3","75","38.5","8"
"35","71","8","85","39.8","31"
"66","57","21","100","40.7","130"
"40","60","7","89","39.9","32"
"62","87","22","97","40.6","139"
"24","58","3","88","38.5","12"
"37","87","11","96","39.5","55"
"49","86","9","95","39.4","48"
"32","99","24","107","40.4","160"
"46","62","13","94","39.9","67"
"59","75","25","105","41.2","178"
"42","68","17","91","40.4","79"
"44","85","9","85","39.6","32"
"74","77","22","103","40.4","140"
"68","99","14","92","40.3","86"
"58","84","16","97","40.3","97"
"32","80","28","117","40.7","217"
"34","93","21","91","40.6","88"
"23","58","21","106","40.3","127"
"52","69","7","88","39.2","32"
"28","63","5","85","39.1","19"
"47","66","20","103","40.7","121"
"24","68","12","92","39.8","40"
"73","60","9","91","39.8","48"
"76","103","25","100","40.4","195"
"65","69","10","91","39.9","52"
"29","71","4","81","39.1","8"
"20","81","26","104","40.8","136"
"33","90","6","86","39.1","20"
"33","61","3","83","38.7","11"
"34","72","26","103","40.7","144"
"43","60","13","89","40.1","59"
"47","74","10","97","39.8","53"
"65","82","8","90","39.2","38"
"22","62","29","99","40.8","152"
"28","85","8","94","39.4","34"
"30","60","3","87","38.7","12"
"32","96","28","110","40.9","197"
"56","66","20","103","40","124"
"67","90","15","106","40.3","120"
"62","105","9","88","39.7","48"
"33","73","17","97","40.4","86"
"46","96","25","108","40.3","185"
"79","91","8","90","39.6","49"
"57","57","11","85","40","49"
"49","66","11","87","39.9","48"
"41","87","14","100","40.3","81"
"38","77","19","112","40.3","137"
"28","84","24","98","40.6","115"
"31","84","19","98","40.6","93"
"48","93","8","87","39.5","34"
"41","80","26","106","40.6","170"
"71","103","6","92","39.1","38"
"30","64","26","99","40.7","139"
"30","67","18","94","40.5","86"
"29","59","26","111","40.9","174"
"34","88","5","82","39.1","14"
"42","76","29","108","40.6","197"
"51","68","17","105","40.4","107"
"35","92","19","100","40.5","106"
"28","68","3","85","38.6","11"
"33","80","6","90","39","25"
"22","56","23","98","40.5","120"
"64","73","22","102","40.5","151"
"57","57","18","91","40.1","91"
"42","56","18","95","40.5","95"
"24","91","23","101","40.8","119"
"49","80","3","82","38.4","10"
"32","81","19","99","40.2","96"
"78","80","13","98","40.1","92"
"53","63","24","107","40.7","159"
"68","98","21","105","40.4","169"
"47","108","15","98","40.2","93"
"51","56","15","96","40.6","83"
"64","59","22","92","40.6","116"
"51","94","17","87","40.1","75"
"23","55","26","98","40.8","137"
"42","48","15","94","40.5","79"
"23","75","8","88","39.4","23"
"70","98","4","83","39.1","19"
"53","94","11","88","40","52"
"28","84","16","98","40.1","76"
"48","80","10","92","40","47"
"43","61","22","99","40.6","124"
"21","71","7","89","39.8","28"
"26","92","22","104","40.6","127"
"53","67","19","95","40","101"
"32","68","26","103","40.9","150"
"24","105","9","90","39.8","34"
"30","94","13","93","40.2","56"
"31","69","27","104","41.1","158"
"21","87","22","107","40.6","129"
"35","86","10","93","39.8","44"
"56","105","11","94","39.7","66"
"34","51","28","107","40.8","181"
"29","58","14","101","40.1","79"
"23","51","21","113","40.5","145"
"22","62","28","110","40.7","180"
"42","82","15","98","40.4","81"
"40","73","15","95","40.5","75"
"28","83","2","79","38.1","4"
"49","102","17","100","40.5","110"
"28","79","9","93","39.6","35"
"56","94","5","86","39","23"
"41","61","29","103","41.2","175"
"38","96","27","95","40.6","137"
"21","48","27","106","40.6","166"
"73","90","21","94","40.5","136"
"48","91","24","102","40.4","156"
"53","71","8","89","39.7","37"
"43","82","16","102","40","97"
"20","71","18","99","40.3","77"
"22","85","28","105","40.6","156"
"50","95","11","93","40.1","58"
"46","89","10","95","39.9","53"
"40","62","19","100","40.5","108"
"71","65","11","90","40","56"
"20","76","19","106","40.3","103"
"68","98","22","101","40.1","164"
"50","73","13","98","40.1","73"
"24","71","2","78","38.2","3"
"25","57","15","99","40.2","80"
"34","103","17","96","40.4","88"
"42","75","14","98","40.3","74"
"29","40","16","101","40","94"
"40","66","6","87","39.1","20"
"77","76","9","85","39.3","41"
"46","83","20","98","41","112"
"78","71","12","96","39.7","69"
"35","92","24","99","40.9","130"
"21","100","21","98","40.6","100"
"45","57","27","104","40.6","169"
"56","65","27","108","41","183"
"74","66","29","110","40.8","211"
"46","83","6","86","39.6","23"
"21","92","14","95","40","58"
"26","75","4","77","39.2","5"
"63","79","12","90","39.8","62"
"34","51","3","90","38.7","14"
"68","106","23","107","40.5","196"
"56","87","16","91","39.9","82"
"21","78","28","108","40.7","163"
"20","73","25","99","40.7","108"
"35","62","15","102","40.3","87"
"25","97","18","99","40.4","91"
"62","44","26","108","40.8","186"
"63","66","8","83","39.4","34"
"46","57","11","97","40.2","61"
"46","80","21","97","40.5","113"
"24","87","5","82","39.2","11"
"43","83","13","83","40.3","42"
"27","59","2","81","38.3","7"
"65","80","14","96","39.9","86"
"63","50","7","88","39.4","35"
"59","104","20","102","40.5","146"
"34","51","7","97","39.2","38"
"57","70","28","105","41.2","179"
"28","94","10","85","39.7","30"
"31","98","14","97","40.3","71"
"30","66","16","87","40.2","65"
"38","77","2","80","38.6","5"
"54","71","29","107","40.5","190"
"54","100","9","82","39.6","36"
"31","97","15","92","40.5","64"
"73","69","29","109","40.8","240"
"75","57","27","114","41","212"
"39","73","22","97","40.5","108"
"26","87","5","87","39.2","15"
"28","59","23","111","41","153"
"58","91","10","91","39.6","53"
"79","108","18","99","41","142"
"26","58","15","95","40.2","74"
"53","57","23","105","40.7","150"
"33","53","17","94","40","85"
"60","92","3","88","38.8","15"
"53","81","5","84","39.3","19"
"26","85","3","86","39.1","9"
"23","83","3","91","38.6","10"
"31","64","2","77","38.1","6"
"20","78","24","107","40.5","135"
"32","73","30","111","40.7","201"
"61","104","28","108","41.1","232"
"27","92","13","92","40","52"
"42","84","6","86","39.3","23"
"22","56","18","97","40.4","92"
"71","67","19","91","40.3","99"
"28","62","10","87","39.4","41"
"38","77","26","113","41.1","192"
"43","69","2","79","38.2","7"
"21","84","27","97","40.8","116"
"38","77","21","102","40.5","120"
"46","83","2","90","38","9"
"49","97","3","84","38.5","12"
"33","82","4","89","38.6","14"
"61","66","8","85","39.5","35"
"35","90","24","108","40.3","162"
"32","99","27","115","40.5","212"
"38","56","20","94","40.8","101"
"58","87","23","98","40.9","145"
"25","70","11","92","40","49"
"23","54","9","92","39.4","42"
"24","68","18","93","40.6","82"
"38","65","3","85","39.1","12"
"29","48","17","98","40.6","93"
"79","63","8","86","39.9","39"
"37","66","25","106","40.7","155"
"22","58","16","102","40.4","90"
"20","82","20","92","40.2","69"
"57","68","18","114","40.4","133"
"58","96","12","92","39.7","67"
"32","49","5","90","39","23"
"32","69","2","77","38.2","6"
"42","55","27","113","40.9","194"
"50","51","2","79","38.4","8"
"44","75","12","93","40","58"
"27","75","21","106","40.6","120"
"38","70","13","89","40.2","57"
"23","68","18","97","40.1","89"
"31","58","16","101","40.1","91"
"52","55","22","105","40.5","143"
"46","82","24","104","41","156"
"56","60","5","89","39","24"
"39","74","6","78","39.1","19"
"66","98","26","114","40.7","242"
"62","78","22","103","40.5","135"
"63","61","3","87","38.5","14"
"77","52","28","103","40.6","190"
"54","79","23","92","40.9","111"
"43","51","9","94","39.2","47"
"30","82","28","107","40.7","173"
"74","87","20","101","40.5","150"
"25","62","8","85","39.5","30"
"43","98","17","107","40.2","122"
"40","91","29","111","41","216"
"61","69","28","114","40.9","208"
"56","66","3","85","38.7","13"
"67","72","8","89","39.3","39"
"72","60","11","92","40.1","59"
"32","96","21","111","40.8","151"
"67","64","17","90","40.3","86"
"65","63","19","97","40.3","113"
"35","91","23","112","41","170"
"32","90","7","90","39.4","27"
"57","78","3","71","39","6"
"50","59","24","101","40.7","144"
"24","72","8","91","39.8","34"
"55","66","14","87","40","63"
"23","97","15","101","40","79"
"79","75","11","89","40.1","62"
"35","76","12","97","40.2","57"
"31","71","3","83","38.4","11"
"35","89","24","108","40.8","161"
"70","62","8","87","39.4","38"
"65","96","5","85","39.1","24"
"58","56","22","99","40.6","131"
"22","79","29","115","40.7","201"
"24","68","20","99","40.2","104"
"49","61","27","106","41","175"
"26","65","11","101","40","60"
"21","92","4","81","38.5","8"
"23","86","29","115","40.9","207"
"39","62","15","93","40","74"
"33","76","20","100","40.4","103"
"28","57","3","81","38.8","10"
"70","63","12","94","40.4","67"
"38","85","8","84","39.8","25"
"27","90","16","88","39.8","54"
"53","84","14","93","40","73"
"38","73","17","100","40.3","93"
"54","66","6","85","39.4","26"
"32","77","16","97","40","75"
"28","76","21","107","40.6","125"
"27","69","25","105","40.8","147"
"54","82","4","86","39.1","17"
"56","70","18","98","40.4","101"
"26","91","15","95","40.1","66"
"25","97","11","92","39.9","44"
"45","81","19","102","40.4","116"
"21","63","5","81","39.3","16"
"21","64","4","75","38.9","11"
"36","58","11","89","39.8","49"
"78","96","15","83","40.5","78"
"49","76","5","84","39.2","18"
"32","73","19","99","40.5","93"
"73","96","2","91","38","12"
"22","61","3","88","38.3","12"
