,Age,Weight,Duration,Heart_Rate,Body_Temp,Calories
75,27,64.0,2.0,76.0,38.2,6.0
76,57,83.0,2.0,79.0,38.1,7.0
77,49,68.0,20.0,99.0,40.6,113.0
78,39,63.0,29.0,108.0,40.7,188.0
79,47,72.0,20.0,96.0,40.3,103.0
80,62,101.0,17.0,103.0,40.3,128.0
81,41,89.0,23.0,99.0,40.7,130.0
82,34,50.0,7.0,83.0,39.3,27.0
83,40,62.0,27.0,111.0,41.2,185.0
84,55,57.0,11.0,92.0,39.8,57.0
85,44,88.0,13.0,94.0,40.0,65.0
86,45,60.0,16.0,99.0,40.4,91.0
87,49,64.0,19.0,105.0,40.4,120.0
88,46,68.0,12.0,101.0,40.1,70.0
89,25,100.0,9.0,94.0,39.8,39.0
90,68,80.0,22.0,95.0,40.5,136.0
91,25,64.0,14.0,101.0,40.2,77.0
92,31,67.0,9.0,93.0,39.5,42.0
93,57,91.0,7.0,95.0,39.2,41.0
94,27,59.0,14.0,88.0,39.9,59.0
95,40,98.0,24.0,110.0,40.7,179.0
96,57,74.0,2.0,73.0,38.6,6.0
97,23,62.0,5.0,74.0,39.2,13.0
98,23,87.0,23.0,110.0,40.0,147.0
99,43,88.0,26.0,107.0,40.7,180.0
100,74,107.0,14.0,96.0,40.1,101.0
101,45,53.0,23.0,106.0,40.7,150.0
102,31,60.0,25.0,115.0,40.8,179.0
103,21,93.0,6.0,93.0,39.2,23.0
104,50,96.0,3.0,80.0,38.3,10.0
105,39,74.0,9.0,93.0,39.5,39.0
106,57,81.0,30.0,112.0,40.9,247.0
107,26,53.0,19.0,92.0,40.5,89.0
108,34,83.0,25.0,102.0,40.9,141.0
109,55,62.0,4.0,87.0,39.1,18.0
110,52,67.0,15.0,89.0,40.6,70.0
111,21,90.0,29.0,110.0,40.8,185.0
112,20,45.0,11.0,94.0,40.1,54.0
113,79,60.0,29.0,107.0,40.8,207.0
114,21,91.0,27.0,114.0,41.0,189.0
115,50,74.0,2.0,82.0,38.1,6.0
116,29,76.0,12.0,97.0,39.9,60.0
117,22,92.0,6.0,92.0,39.0,23.0
118,28,60.0,27.0,113.0,40.8,186.0
119,38,93.0,28.0,104.0,40.9,178.0
120,23,73.0,25.0,102.0,40.7,122.0
121,68,68.0,24.0,108.0,40.5,166.0
122,79,86.0,20.0,102.0,40.1,158.0
123,35,70.0,2.0,83.0,38.4,7.0
124,67,96.0,18.0,105.0,40.5,143.0
125,21,52.0,12.0,82.0,39.8,43.0
126,44,49.0,17.0,92.0,40.2,86.0
127,43,72.0,23.0,100.0,40.7,128.0
128,21,79.0,29.0,111.0,41.0,182.0
129,32,70.0,10.0,98.0,39.7,52.0
130,79,91.0,27.0,107.0,40.4,236.0
131,51,96.0,19.0,97.0,40.6,114.0
132,60,67.0,11.0,99.0,39.7,64.0
133,49,86.0,26.0,103.0,40.8,171.0
134,46,84.0,6.0,82.0,39.2,19.0
135,35,54.0,21.0,111.0,40.5,144.0
136,31,76.0,9.0,94.0,39.7,37.0
137,42,78.0,26.0,110.0,41.4,185.0
138,66,69.0,13.0,87.0,39.8,60.0
139,52,90.0,22.0,96.0,40.5,127.0
140,59,73.0,23.0,101.0,40.4,149.0
141,23,71.0,16.0,102.0,40.1,78.0
142,49,63.0,5.0,91.0,38.9,24.0
143,25,57.0,23.0,107.0,40.8,143.0
144,20,84.0,27.0,104.0,41.0,143.0
145,28,66.0,15.0,94.0,40.1,71.0
146,60,90.0,11.0,90.0,40.2,58.0
147,29,77.0,15.0,95.0,40.4,71.0
148,40,87.0,5.0,88.0,39.5,20.0
149,26,93.0,17.0,96.0,40.3,78.0
150,26,76.0,19.0,97.0,40.4,93.0
151,25,58.0,6.0,90.0,39.2,17.0
152,60,87.0,3.0,84.0,38.9,12.0
153,25,81.0,23.0,101.0,40.8,115.0
154,39,65.0,19.0,106.0,40.6,119.0
155,30,53.0,26.0,108.0,40.6,168.0
156,23,100.0,12.0,90.0,40.4,44.0
157,37,51.0,29.0,108.0,40.6,192.0
158,22,47.0,17.0,101.0,40.3,96.0
159,26,68.0,23.0,105.0,40.7,135.0
160,56,60.0,12.0,86.0,40.2,54.0
161,43,79.0,30.0,115.0,40.8,239.0
162,38,65.0,14.0,94.0,40.1,69.0
163,24,80.0,14.0,90.0,40.7,46.0
164,25,63.0,21.0,101.0,40.7,115.0
165,31,62.0,4.0,88.0,39.1,17.0
166,54,57.0,25.0,115.0,40.4,190.0
167,34,91.0,12.0,89.0,40.2,48.0
168,28,72.0,27.0,112.0,40.7,178.0
169,24,95.0,6.0,88.0,39.3,20.0
170,27,69.0,15.0,90.0,40.4,64.0
171,35,57.0,19.0,94.0,40.6,95.0
172,49,89.0,25.0,111.0,40.8,196.0
173,36,91.0,2.0,91.0,38.1,9.0
174,58,83.0,18.0,101.0,40.8,105.0
175,40,61.0,12.0,92.0,40.0,58.0
176,31,77.0,24.0,97.0,40.8,111.0
177,50,86.0,17.0,101.0,40.3,108.0
178,36,109.0,6.0,87.0,39.1,24.0
179,34,61.0,13.0,96.0,40.1,67.0
180,78,54.0,13.0,84.0,40.3,62.0
181,41,76.0,28.0,104.0,40.8,172.0
182,41,71.0,7.0,87.0,39.5,24.0
183,24,77.0,19.0,98.0,40.1,84.0
184,67,69.0,20.0,105.0,40.5,132.0
185,47,75.0,25.0,110.0,40.7,167.0
186,42,52.0,17.0,101.0,40.6,101.0
187,25,75.0,23.0,97.0,40.6,113.0
188,25,78.0,17.0,101.0,40.3,84.0
189,58,68.0,6.0,88.0,39.4,28.0
190,68,98.0,22.0,99.0,41.0,157.0
191,24,91.0,14.0,97.0,40.4,64.0
192,38,92.0,21.0,104.0,40.6,133.0
193,26,59.0,23.0,108.0,40.5,145.0
194,64,83.0,24.0,103.0,41.0,174.0
195,49,75.0,7.0,93.0,39.2,34.0
196,73,57.0,29.0,103.0,40.9,193.0
197,27,86.0,24.0,107.0,40.7,147.0
198,66,72.0,18.0,105.0,40.5,133.0
199,39,104.0,26.0,101.0,40.7,161.0
200,30,62.0,6.0,76.0,39.4,18.0
201,76,96.0,12.0,96.0,40.1,85.0
202,60,90.0,15.0,95.0,40.0,90.0
203,54,90.0,23.0,108.0,40.9,176.0
204,49,66.0,11.0,89.0,39.6,51.0
205,24,66.0,7.0,82.0,39.3,24.0
206,28,57.0,6.0,83.0,39.5,22.0
207,72,102.0,25.0,106.0,40.9,212.0
208,32,78.0,29.0,112.0,40.9,201.0
209,36,59.0,17.0,93.0,40.3,83.0
210,65,103.0,14.0,93.0,40.1,87.0
211,36,67.0,27.0,97.0,40.7,141.0
212,32,63.0,23.0,103.0,40.3,134.0
213,42,84.0,2.0,80.0,38.6,5.0
214,34,94.0,29.0,109.0,40.9,201.0
215,34,78.0,3.0,86.0,38.2,9.0
216,26,86.0,8.0,83.0,39.3,20.0
217,31,105.0,29.0,113.0,40.8,221.0
218,64,63.0,17.0,105.0,40.1,112.0
219,34,93.0,20.0,99.0,40.3,108.0
220,63,112.0,29.0,110.0,40.4,257.0
221,44,87.0,27.0,108.0,40.8,192.0
222,36,96.0,17.0,90.0,40.3,72.0
223,41,71.0,28.0,104.0,41.2,169.0
224,73,77.0,18.0,97.0,40.3,120.0
225,31,85.0,28.0,106.0,40.8,172.0
226,22,73.0,10.0,84.0,39.9,21.0
227,34,56.0,18.0,102.0,40.6,105.0
228,21,65.0,25.0,109.0,40.3,156.0
229,22,50.0,3.0,89.0,38.7,13.0
230,33,97.0,24.0,100.0,40.8,134.0
231,51,60.0,21.0,103.0,40.4,130.0
233,33,67.0,25.0,101.0,41.1,140.0
234,47,97.0,7.0,91.0,39.3,34.0
235,70,74.0,9.0,79.0,40.0,34.0
236,77,63.0,8.0,92.0,39.5,44.0
237,35,71.0,11.0,85.0,39.9,42.0
238,44,60.0,2.0,89.0,38.4,9.0
239,71,60.0,18.0,97.0,40.5,107.0
240,54,75.0,9.0,87.0,39.6,39.0
241,63,68.0,26.0,108.0,40.8,178.0
242,50,55.0,13.0,101.0,40.4,79.0
243,63,105.0,15.0,102.0,40.3,113.0
244,30,58.0,22.0,109.0,40.5,143.0
245,33,57.0,4.0,84.0,38.7,16.0
246,38,91.0,24.0,100.0,40.5,137.0
247,20,81.0,17.0,97.0,40.5,71.0
248,67,62.0,13.0,94.0,40.2,72.0
249,24,90.0,14.0,103.0,40.1,76.0
250,30,103.0,27.0,109.0,40.5,187.0
251,35,49.0,18.0,103.0,40.2,109.0
252,63,79.0,29.0,111.0,40.5,204.0
253,50,60.0,6.0,91.0,39.4,29.0
254,33,101.0,17.0,98.0,40.5,91.0
255,36,58.0,4.0,84.0,39.0,16.0
256,75,97.0,7.0,84.0,39.1,36.0
257,56,93.0,13.0,97.0,39.9,80.0
258,50,75.0,22.0,111.0,40.6,151.0
259,24,80.0,27.0,116.0,40.6,195.0
260,32,72.0,8.0,80.0,39.5,26.0
261,49,100.0,22.0,99.0,40.5,138.0
262,77,65.0,3.0,89.0,39.0,15.0
263,67,75.0,19.0,97.0,40.5,120.0
264,23,81.0,30.0,112.0,41.0,197.0
265,37,95.0,21.0,98.0,40.7,114.0
266,35,59.0,20.0,107.0,40.6,127.0
267,34,83.0,23.0,97.0,40.8,112.0
268,49,67.0,21.0,98.0,40.4,116.0
269,69,61.0,8.0,83.0,39.4,35.0
270,49,101.0,16.0,103.0,40.4,110.0
271,41,51.0,22.0,95.0,40.2,117.0
272,42,95.0,17.0,105.0,40.2,115.0
273,52,93.0,21.0,107.0,40.6,157.0
274,26,60.0,12.0,91.0,40.0,54.0
275,79,80.0,25.0,104.0,40.5,163.0
276,72,82.0,19.0,107.0,40.5,156.0
277,34,92.0,10.0,91.0,39.9,42.0
278,60,50.0,7.0,89.0,39.8,35.0
279,45,57.0,7.0,91.0,39.3,34.0
280,33,92.0,19.0,98.0,40.4,99.0
281,56,97.0,20.0,109.0,40.5,161.0
282,21,54.0,8.0,94.0,39.8,38.0
283,50,61.0,18.0,99.0,40.5,104.0
284,60,86.0,27.0,105.0,41.0,200.0
285,39,72.0,28.0,108.0,40.7,183.0
286,48,75.0,19.0,110.0,40.7,140.0
287,38,65.0,19.0,97.0,40.5,100.0
288,54,95.0,22.0,110.0,40.3,178.0
289,23,89.0,27.0,104.0,41.0,150.0
290,72,68.0,15.0,94.0,40.2,83.0
291,47,79.0,6.0,74.0,39.3,12.0
292,58,72.0,8.0,103.0,39.9,49.0
293,41,85.0,25.0,101.0,40.8,147.0
294,62,100.0,8.0,90.0,39.4,44.0
295,30,67.0,29.0,107.0,40.9,179.0
296,32,56.0,23.0,113.0,40.5,161.0
297,20,80.0,9.0,84.0,39.4,20.0
298,53,65.0,21.0,102.0,40.5,127.0
299,51,95.0,30.0,112.0,41.0,247.0
300,78,86.0,23.0,100.0,40.8,173.0
302,74,112.0,6.0,83.0,39.0,32.0
303,50,70.0,22.0,106.0,40.9,140.0
304,40,70.0,8.0,88.0,40.0,34.0
305,41,75.0,8.0,88.0,39.7,30.0
306,26,54.0,13.0,94.0,40.3,64.0
307,25,89.0,27.0,104.0,40.8,152.0
308,31,89.0,15.0,105.0,39.9,91.0
309,20,90.0,4.0,83.0,38.8,9.0
310,55,72.0,5.0,84.0,39.3,20.0
311,52,59.0,25.0,103.0,40.7,156.0
312,60,105.0,26.0,110.0,40.6,223.0
313,36,93.0,16.0,97.0,40.0,83.0
314,53,69.0,11.0,89.0,40.0,51.0
315,36,95.0,10.0,97.0,40.0,52.0
316,23,68.0,25.0,114.0,40.9,170.0
318,37,61.0,25.0,103.0,40.7,149.0
319,48,80.0,27.0,105.0,40.6,181.0
320,39,71.0,27.0,118.0,41.1,201.0
321,21,103.0,7.0,88.0,39.6,23.0
322,20,86.0,23.0,100.0,40.3,109.0
323,57,72.0,8.0,84.0,39.7,30.0
324,77,66.0,15.0,94.0,40.5,84.0
325,34,85.0,19.0,109.0,40.4,128.0
326,52,92.0,23.0,97.0,40.7,137.0
327,70,91.0,28.0,103.0,40.8,216.0
328,64,54.0,12.0,95.0,40.1,68.0
329,73,101.0,18.0,97.0,40.7,129.0
330,47,99.0,11.0,88.0,39.8,50.0
331,39,65.0,5.0,84.0,39.2,19.0
332,25,60.0,7.0,89.0,39.4,30.0
333,22,67.0,27.0,119.0,40.4,197.0
334,67,78.0,4.0,95.0,38.7,24.0
335,64,67.0,13.0,94.0,40.2,70.0
336,37,100.0,12.0,91.0,40.1,54.0
337,21,78.0,19.0,100.0,40.5,88.0
338,40,97.0,7.0,83.0,39.5,24.0
339,36,68.0,19.0,108.0,40.1,121.0
340,53,77.0,11.0,95.0,39.9,57.0
341,41,99.0,22.0,98.0,40.5,126.0
342,56,88.0,5.0,89.0,39.5,24.0
343,29,65.0,11.0,84.0,40.0,41.0
344,28,92.0,7.0,92.0,39.5,28.0
345,22,88.0,10.0,90.0,39.7,34.0
346,76,93.0,23.0,96.0,40.5,161.0
347,73,76.0,4.0,86.0,38.9,20.0
348,39,86.0,23.0,97.0,40.6,119.0
349,69,59.0,11.0,95.0,39.6,63.0
350,46,75.0,12.0,93.0,40.1,58.0
351,30,58.0,30.0,115.0,40.6,215.0
352,35,67.0,17.0,101.0,40.1,96.0
353,60,71.0,24.0,107.0,41.0,160.0
354,35,50.0,25.0,104.0,41.0,154.0
355,26,84.0,5.0,81.0,39.1,11.0
356,21,83.0,23.0,104.0,40.5,122.0
357,27,57.0,22.0,101.0,40.4,124.0
358,47,69.0,21.0,97.0,40.6,113.0
359,27,79.0,3.0,80.0,38.9,9.0
360,49,79.0,29.0,108.0,40.7,208.0
361,27,83.0,19.0,102.0,41.0,101.0
362,46,91.0,14.0,91.0,40.0,66.0
363,58,98.0,14.0,102.0,40.1,100.0
364,27,77.0,13.0,101.0,39.9,65.0
365,29,76.0,13.0,91.0,39.8,47.0
366,39,96.0,3.0,78.0,38.6,8.0
367,56,63.0,4.0,84.0,38.7,17.0
368,32,83.0,21.0,97.0,40.4,101.0
369,43,67.0,5.0,80.0,39.0,18.0
370,21,98.0,21.0,108.0,40.5,131.0
371,76,72.0,10.0,97.0,39.8,58.0
372,22,59.0,15.0,104.0,40.0,87.0
373,35,99.0,24.0,104.0,40.6,152.0
374,45,95.0,28.0,105.0,41.0,193.0
375,32,83.0,10.0,99.0,39.7,51.0
376,39,80.0,25.0,105.0,40.7,157.0
377,44,75.0,27.0,105.0,40.8,165.0
378,26,67.0,6.0,84.0,39.4,22.0
379,42,72.0,17.0,98.0,40.1,91.0
380,24,78.0,2.0,93.0,38.2,9.0
381,56,93.0,14.0,91.0,40.0,74.0
382,71,96.0,5.0,85.0,39.1,26.0
383,37,84.0,11.0,99.0,39.9,57.0
384,47,63.0,10.0,81.0,39.9,37.0
385,48,67.0,29.0,112.0,40.9,217.0
386,52,86.0,11.0,87.0,40.0,47.0
387,40,98.0,24.0,99.0,40.4,139.0
388,66,75.0,4.0,88.0,38.9,19.0
389,37,59.0,16.0,94.0,40.2,80.0
390,28,93.0,17.0,94.0,40.4,74.0
391,59,51.0,10.0,93.0,39.7,54.0
392,24,78.0,28.0,105.0,40.8,154.0
393,67,62.0,26.0,93.0,40.7,140.0
394,33,98.0,10.0,97.0,39.8,52.0
395,34,99.0,15.0,97.0,40.1,79.0
396,40,84.0,17.0,99.0,40.4,94.0
397,22,85.0,28.0,116.0,41.0,202.0
398,66,75.0,27.0,114.0,40.7,238.0
399,42,82.0,19.0,103.0,40.2,117.0
400,42,111.0,7.0,83.0,39.5,26.0
401,64,97.0,23.0,106.0,40.7,184.0
402,32,64.0,28.0,105.0,40.5,169.0
404,26,83.0,27.0,107.0,41.0,162.0
405,32,55.0,13.0,92.0,40.2,62.0
406,51,94.0,21.0,105.0,40.4,150.0
407,40,59.0,27.0,110.0,41.1,183.0
408,34,74.0,25.0,101.0,40.9,138.0
409,48,88.0,15.0,103.0,40.0,99.0
410,21,45.0,23.0,100.0,40.6,128.0
411,31,68.0,12.0,91.0,40.3,54.0
412,76,103.0,18.0,95.0,40.3,127.0
413,20,79.0,5.0,84.0,38.9,11.0
414,22,73.0,18.0,94.0,40.7,66.0
415,44,84.0,11.0,91.0,39.5,49.0
416,49,67.0,10.0,85.0,39.5,42.0
417,49,79.0,7.0,95.0,39.5,37.0
418,46,55.0,3.0,84.0,38.6,12.0
419,75,84.0,29.0,107.0,41.1,243.0
420,20,58.0,5.0,76.0,39.3,14.0
421,33,59.0,28.0,105.0,40.6,171.0
422,68,75.0,28.0,112.0,40.8,241.0
423,58,73.0,20.0,104.0,40.6,125.0
424,23,81.0,26.0,112.0,40.6,171.0
425,79,96.0,9.0,87.0,39.7,52.0
426,43,104.0,28.0,103.0,40.7,187.0
427,37,74.0,24.0,104.0,40.8,141.0
429,61,73.0,26.0,102.0,40.8,159.0
430,26,62.0,9.0,80.0,40.2,30.0
431,23,72.0,28.0,110.0,40.9,176.0
432,64,82.0,25.0,111.0,40.8,211.0
433,20,68.0,8.0,85.0,39.4,29.0
434,22,69.0,21.0,95.0,40.1,99.0
435,27,69.0,27.0,116.0,41.1,190.0
436,36,95.0,7.0,83.0,39.5,22.0
437,59,92.0,30.0,110.0,41.0,247.0
438,36,103.0,5.0,84.0,39.0,17.0
439,71,65.0,8.0,86.0,39.7,37.0
440,21,67.0,21.0,103.0,40.4,117.0
441,56,90.0,10.0,91.0,39.7,52.0
443,75,74.0,10.0,98.0,39.7,68.0
444,48,84.0,17.0,89.0,40.4,74.0
445,62,91.0,24.0,97.0,40.6,154.0
446,53,60.0,26.0,104.0,40.7,165.0
447,47,89.0,17.0,97.0,39.9,96.0
448,39,91.0,13.0,101.0,39.8,77.0
449,54,63.0,17.0,92.0,40.3,86.0
450,38,104.0,21.0,101.0,40.6,129.0
451,39,51.0,26.0,100.0,40.4,151.0
452,51,81.0,28.0,106.0,40.9,197.0
453,30,92.0,13.0,104.0,40.3,77.0
454,33,61.0,5.0,90.0,39.1,22.0
455,47,82.0,27.0,100.0,40.7,161.0
456,64,55.0,25.0,114.0,40.8,192.0
457,37,58.0,8.0,90.0,39.2,37.0
458,41,91.0,20.0,106.0,40.5,135.0
459,61,77.0,11.0,90.0,40.0,55.0
460,38,71.0,10.0,84.0,39.8,29.0
461,21,88.0,12.0,97.0,39.9,52.0
463,48,81.0,21.0,94.0,40.6,106.0
464,71,80.0,6.0,84.0,39.0,28.0
465,73,97.0,22.0,107.0,40.9,189.0
466,65,61.0,26.0,111.0,41.0,190.0
467,57,56.0,13.0,91.0,39.9,66.0
468,49,93.0,22.0,99.0,40.5,135.0
469,55,79.0,4.0,97.0,38.7,23.0
470,20,74.0,12.0,80.0,39.9,17.0
471,45,58.0,5.0,84.0,38.9,21.0
472,53,75.0,13.0,90.0,40.2,60.0
473,46,58.0,10.0,93.0,39.6,51.0
474,25,96.0,5.0,85.0,39.1,15.0
475,22,65.0,9.0,92.0,40.0,29.0
476,60,66.0,27.0,110.0,40.8,190.0
477,50,62.0,11.0,89.0,40.1,51.0
478,61,56.0,17.0,95.0,40.5,95.0
479,69,62.0,29.0,112.0,40.9,216.0
480,30,92.0,30.0,101.0,41.0,165.0
481,33,61.0,20.0,105.0,40.6,122.0
482,21,105.0,15.0,96.0,40.1,69.0
483,39,53.0,20.0,99.0,40.9,113.0
484,26,81.0,7.0,92.0,39.5,26.0
485,44,80.0,5.0,91.0,39.2,22.0
486,58,42.0,12.0,96.0,40.1,70.0
487,24,83.0,4.0,83.0,39.3,9.0
488,35,91.0,15.0,95.0,40.3,72.0
489,21,94.0,25.0,111.0,40.6,165.0
490,26,82.0,29.0,105.0,41.0,165.0
491,30,57.0,15.0,88.0,40.3,64.0
492,27,81.0,18.0,105.0,40.5,103.0
493,32,51.0,4.0,83.0,39.1,15.0
494,30,84.0,9.0,85.0,39.6,32.0
495,79,57.0,14.0,85.0,40.0,68.0
496,39,58.0,25.0,106.0,40.6,159.0
497,25,89.0,6.0,92.0,39.6,23.0
498,23,70.0,13.0,90.0,40.1,54.0
500,34,80.0,29.0,120.0,40.7,240.0
501,36,54.0,10.0,86.0,39.7,42.0
502,63,115.0,14.0,106.0,40.0,117.0
503,37,59.0,26.0,106.0,40.6,164.0
504,50,55.0,23.0,98.0,40.8,132.0
505,62,96.0,2.0,85.0,38.2,9.0
506,37,67.0,15.0,94.0,40.0,74.0
507,35,69.0,23.0,96.0,40.7,116.0
508,27,79.0,8.0,102.0,39.7,42.0
509,55,79.0,24.0,110.0,40.6,187.0
510,36,75.0,16.0,94.0,40.4,70.0
511,22,45.0,7.0,86.0,39.1,29.0
512,20,71.0,9.0,83.0,39.8,17.0
513,43,83.0,28.0,108.0,40.9,195.0
514,73,76.0,19.0,106.0,40.4,127.0
515,22,82.0,14.0,87.0,39.9,39.0
516,67,64.0,6.0,88.0,38.9,28.0
517,25,100.0,16.0,93.0,40.3,68.0
518,41,63.0,17.0,97.0,40.5,91.0
519,49,81.0,16.0,97.0,40.2,89.0
521,27,80.0,28.0,111.0,41.2,185.0
522,33,76.0,5.0,79.0,38.7,16.0
523,59,58.0,19.0,91.0,40.3,97.0
524,21,77.0,13.0,92.0,40.2,44.0
525,65,59.0,10.0,95.0,40.0,56.0
526,22,88.0,21.0,103.0,40.4,112.0
527,55,91.0,10.0,81.0,39.8,37.0
528,22,82.0,9.0,86.0,39.8,24.0
529,35,38.0,30.0,112.0,40.5,216.0
530,58,101.0,15.0,101.0,40.1,106.0
531,45,103.0,14.0,85.0,39.9,57.0
532,62,99.0,18.0,97.0,40.3,119.0
533,74,60.0,16.0,97.0,40.1,96.0
534,48,46.0,7.0,88.0,39.5,33.0
535,23,73.0,23.0,100.0,40.7,106.0
536,31,90.0,25.0,106.0,41.0,156.0
537,53,98.0,14.0,92.0,40.4,75.0
538,73,89.0,18.0,99.0,40.6,130.0
539,27,66.0,21.0,113.0,40.5,142.0
540,40,83.0,22.0,99.0,40.5,121.0
541,66,66.0,24.0,99.0,40.7,143.0
542,46,73.0,20.0,105.0,40.7,123.0
543,75,62.0,26.0,108.0,41.1,186.0
544,33,67.0,13.0,94.0,40.3,53.0
545,49,59.0,27.0,104.0,40.8,170.0
546,37,67.0,15.0,97.0,40.2,78.0
547,43,70.0,26.0,113.0,40.5,182.0
548,66,82.0,11.0,92.0,40.0,55.0
549,51,59.0,25.0,101.0,40.6,150.0
550,33,56.0,6.0,80.0,39.9,21.0
551,48,72.0,6.0,90.0,39.0,26.0
552,43,95.0,18.0,93.0,40.5,90.0
553,48,75.0,16.0,99.0,40.7,91.0
554,34,87.0,17.0,95.0,40.3,79.0
555,61,66.0,29.0,107.0,41.1,195.0
556,48,75.0,10.0,101.0,39.9,57.0
557,30,57.0,18.0,98.0,40.5,96.0
558,79,61.0,7.0,93.0,39.7,39.0
559,67,73.0,4.0,85.0,38.6,18.0
560,60,84.0,4.0,85.0,39.3,17.0
561,57,76.0,15.0,97.0,40.3,82.0
562,34,96.0,19.0,101.0,40.5,110.0
563,42,56.0,25.0,106.0,40.8,161.0
564,38,82.0,25.0,107.0,40.8,164.0
565,43,83.0,5.0,81.0,39.5,15.0
566,76,99.0,12.0,96.0,40.2,85.0
567,37,79.0,23.0,101.0,40.6,128.0
568,23,98.0,14.0,94.0,40.2,59.0
570,20,54.0,18.0,92.0,40.2,82.0
571,23,62.0,25.0,105.0,40.5,148.0
572,20,65.0,3.0,76.0,38.2,8.0
573,25,71.0,14.0,86.0,40.3,53.0
574,24,50.0,16.0,98.0,40.2,85.0
575,29,57.0,22.0,99.0,40.9,120.0
576,43,106.0,28.0,107.0,40.7,205.0
577,26,66.0,4.0,80.0,39.1,13.0
578,76,77.0,28.0,107.0,40.6,192.0
579,43,89.0,4.0,91.0,38.7,18.0
580,73,94.0,7.0,92.0,39.3,44.0
581,42,104.0,26.0,103.0,41.3,172.0
582,23,65.0,27.0,105.0,40.4,158.0
583,22,76.0,6.0,82.0,39.5,11.0
584,28,77.0,25.0,96.0,40.9,108.0
585,20,64.0,23.0,96.0,40.5,112.0
586,36,65.0,14.0,92.0,39.7,66.0
587,26,104.0,10.0,88.0,39.7,36.0
588,59,72.0,4.0,89.0,38.7,19.0
589,22,50.0,10.0,94.0,39.5,49.0
590,50,70.0,26.0,100.0,40.6,149.0
591,22,77.0,2.0,81.0,38.6,4.0
